method,held_out_K,primary_all_bias,sensitivity_absV_ge_0p05,sensitivity_forward_V_0p05_to_1,sensitivity_reverse_V_minus1_to_minus0p05
Linear,232,0.03752835272564732,0.03680172732348182,0.012536686673961404,0.062109913265995687
PCHIP,232,0.043247020422085426,0.04253428643171984,0.024811779024925616,0.06677154758427127
Linear,241,0.03299511016059419,0.03266152870840272,0.048098383088237155,0.04170424400728295
PCHIP,241,0.033777322672599405,0.03344894323035048,0.02865577890967554,0.0451951900145257
Linear,251,0.00990684763552135,0.00927785292515856,0.011425451497747145,0.019171041050519026
PCHIP,251,0.00696609915411352,0.006591335545771077,0.004497099859512759,0.003867210200186587
Linear,261,0.006382238146312935,0.0060082694008739045,0.007770731840314286,0.006493927582243736
PCHIP,261,0.006523332767353581,0.005781193568957858,0.0062790018761770695,0.017185759785709184
